FLOWplateWell,uniqID,OD_well,putida,protegens,grimontii,veronii,CommRich,Date,Day,Incubator,Plate,Heat,Heat_Day,Recov_Day,Count_grimontii,Count_putida,Count_protegens,Count_veronii,Volume
plate1-G1,24-07-02 Epoch G1,G1,0,1,0,0,1,24-07-02,2,Epoch,1,6,NA,1,1,0,7356,0,72
plate1-H1,24-07-02 Epoch H6,H6,1,0,0,0,1,24-07-02,2,Epoch,1,6,NA,1,0,3691,17,0,12
plate1-A3,24-07-02 Epoch A2,A2,1,0,0,0,1,24-07-02,2,Epoch,1,6,NA,1,0,2445,7,0,12
plate1-B3,24-07-02 Epoch B2,B2,0,1,0,0,1,24-07-02,2,Epoch,1,6,NA,1,0,18,4280,0,85
plate1-C3,24-07-02 Epoch C2,C2,0,0,1,0,1,24-07-02,2,Epoch,1,6,NA,1,9752,8,3,0,31
plate1-D3,24-07-02 Epoch D2,D2,0,0,0,1,1,24-07-02,2,Epoch,1,6,NA,1,0,1,5,7435,7
plate1-E3,24-07-02 Epoch E2,E2,1,1,0,0,2,24-07-02,2,Epoch,1,6,NA,1,0,1,6121,1,63
plate1-F3,24-07-02 Epoch F2,F2,1,0,1,0,2,24-07-02,2,Epoch,1,6,NA,1,20,6217,0,0,9
plate1-G3,24-07-02 Epoch G2,G2,1,0,0,1,2,24-07-02,2,Epoch,1,6,NA,1,0,5315,16,4,8
plate1-H3,24-07-02 Epoch H2,H2,0,1,1,0,2,24-07-02,2,Epoch,1,6,NA,1,2,19,7935,0,33
plate1-A5,24-07-02 Epoch A3,A3,0,1,0,1,2,24-07-02,2,Epoch,1,6,NA,1,0,9,4394,0,132
plate1-B5,24-07-02 Epoch B3,B3,0,0,1,1,2,24-07-02,2,Epoch,1,6,NA,1,7774,0,3,1659,10
plate1-C5,24-07-02 Epoch C3,C3,1,1,1,0,3,24-07-02,2,Epoch,1,6,NA,1,16,3,4579,0,77
plate1-D5,24-07-02 Epoch D3,D3,1,1,0,1,3,24-07-02,2,Epoch,1,6,NA,1,0,1,5024,1,71
plate1-E5,24-07-02 Epoch E3,E3,1,0,1,1,3,24-07-02,2,Epoch,1,6,NA,1,45,4773,10,11,10
plate1-F5,24-07-02 Epoch F3,F3,0,1,1,1,3,24-07-02,2,Epoch,1,6,NA,1,1,11,6450,0,64
plate1-G5,24-07-02 Epoch G3,G3,1,1,1,1,4,24-07-02,2,Epoch,1,6,NA,1,0,12,6020,0,65
plate1-H5,24-07-02 Epoch H3,H3,0,0,0,0,0,24-07-02,2,Epoch,1,6,NA,1,NA,NA,NA,NA,NA
plate1-A7,24-07-02 Epoch A4,A4,0,0,1,0,1,24-07-02,2,Epoch,1,6,NA,1,9546,0,0,0,14
plate1-B7,24-07-02 Epoch B4,B4,0,0,0,1,1,24-07-02,2,Epoch,1,6,NA,1,0,0,1,7484,9
plate1-C7,24-07-02 Epoch C4,C4,1,1,0,0,2,24-07-02,2,Epoch,1,6,NA,1,1,1,4437,0,83
plate1-D7,24-07-02 Epoch D4,D4,1,0,1,0,2,24-07-02,2,Epoch,1,6,NA,1,26,5364,7,0,9
plate1-E7,24-07-02 Epoch E4,E4,1,0,0,1,2,24-07-02,2,Epoch,1,6,NA,1,1,4859,11,5,14
plate1-F7,24-07-02 Epoch F4,F4,0,1,1,0,2,24-07-02,2,Epoch,1,6,NA,1,1,0,6382,0,84
plate1-G7,24-07-02 Epoch G4,G4,1,0,0,0,1,24-07-02,2,Epoch,1,6,NA,1,0,5891,22,0,11
plate1-H7,24-07-02 Epoch H4,H4,0,1,0,0,1,24-07-02,2,Epoch,1,6,NA,1,0,1,7829,0,51
plate1-A9,24-07-02 Epoch A5,A5,1,1,1,0,3,24-07-02,2,Epoch,1,6,NA,1,9,0,4307,0,110
plate1-B9,24-07-02 Epoch B5,B5,1,1,0,1,3,24-07-02,2,Epoch,1,6,NA,1,1,0,4085,1,84
plate1-C9,24-07-02 Epoch C5,C5,1,0,1,1,3,24-07-02,2,Epoch,1,6,NA,1,26,6419,5,9,10
plate1-D9,24-07-02 Epoch D5,D5,0,1,1,1,3,24-07-02,2,Epoch,1,6,NA,1,0,24,6006,0,87
plate1-E9,24-07-02 Epoch E5,E5,1,1,1,1,4,24-07-02,2,Epoch,1,6,NA,1,0,7,6229,0,65
plate1-F9,24-07-02 Epoch F5,F5,0,0,0,0,0,24-07-02,2,Epoch,1,6,NA,1,NA,NA,NA,NA,NA
plate1-G9,24-07-02 Epoch G5,G5,0,1,0,1,2,24-07-02,2,Epoch,1,6,NA,1,1,10,7358,0,59
plate1-H9,24-07-02 Epoch H5,H5,0,0,1,1,2,24-07-02,2,Epoch,1,6,NA,1,6140,0,5,3463,11
plate1-A11,24-07-02 Epoch A7,A7,1,1,0,0,2,24-07-02,2,Epoch,1,6,NA,1,0,0,4543,0,105
plate1-B11,24-07-02 Epoch B7,B7,1,0,1,0,2,24-07-02,2,Epoch,1,6,NA,1,11,6706,5,0,11
plate1-C11,24-07-02 Epoch C7,C7,1,0,0,1,2,24-07-02,2,Epoch,1,6,NA,1,0,5647,8,8,13
plate1-D11,24-07-02 Epoch D7,D7,0,1,1,0,2,24-07-02,2,Epoch,1,6,NA,1,0,1,6625,0,72
plate1-E11,24-07-02 Epoch E7,E7,1,0,0,0,1,24-07-02,2,Epoch,1,6,NA,1,0,4188,25,0,16
plate1-F11,24-07-02 Epoch F7,F7,0,1,0,0,1,24-07-02,2,Epoch,1,6,NA,1,0,0,7530,0,60
plate1-G11,24-07-02 Epoch G7,G7,0,0,1,0,1,24-07-02,2,Epoch,1,6,NA,1,9550,1,1,0,14
plate1-H11,24-07-02 Epoch H7,H7,0,0,0,1,1,24-07-02,2,Epoch,1,6,NA,1,0,0,5,7820,13
plate1-A1,24-07-02 Epoch A6,A6,0,1,1,0,2,24-07-02,3,Epoch,1,6,NA,2,0,0,2373,0,41
plate1-B1,24-07-02 Epoch B1,B1,1,0,0,1,2,24-07-02,3,Epoch,1,6,NA,2,0,4780,17,9,11
plate1-C1,24-07-02 Epoch C1,C1,1,0,1,0,2,24-07-02,3,Epoch,1,6,NA,2,261,4983,5,0,7
plate1-D1,24-07-02 Epoch D1,D1,1,1,0,0,2,24-07-02,3,Epoch,1,6,NA,2,0,23,3567,0,58
plate1-E1,24-07-02 Epoch E1,E1,0,0,0,1,1,24-07-02,3,Epoch,1,6,NA,2,0,0,4,7499,14
plate1-F1,24-07-02 Epoch F1,F1,0,0,1,0,1,24-07-02,3,Epoch,1,6,NA,2,9053,1,3,0,16
plate1-G1,24-07-02 Epoch G1,G1,0,1,0,0,1,24-07-02,3,Epoch,1,6,NA,2,0,2,3683,0,97
plate1-H1,24-07-02 Epoch H6,H6,1,0,0,0,1,24-07-02,3,Epoch,1,6,NA,2,0,5245,1,0,23
plate1-A3,24-07-02 Epoch A2,A2,1,0,0,0,1,24-07-02,3,Epoch,1,6,NA,2,0,5901,4,0,11
plate1-B3,24-07-02 Epoch B2,B2,0,1,0,0,1,24-07-02,3,Epoch,1,6,NA,2,0,11,2794,0,48
plate1-C3,24-07-02 Epoch C2,C2,0,0,1,0,1,24-07-02,3,Epoch,1,6,NA,2,9340,0,3,0,11
plate1-D3,24-07-02 Epoch D2,D2,0,0,0,1,1,24-07-02,3,Epoch,1,6,NA,2,0,0,2,8021,9
plate1-E3,24-07-02 Epoch E2,E2,1,1,0,0,2,24-07-02,3,Epoch,1,6,NA,2,1,0,3575,0,100
plate1-F3,24-07-02 Epoch F2,F2,1,0,1,0,2,24-07-02,3,Epoch,1,6,NA,2,53,4904,1,0,11
plate1-G3,24-07-02 Epoch G2,G2,1,0,0,1,2,24-07-02,3,Epoch,1,6,NA,2,1,3413,10,5,18
plate1-H3,24-07-02 Epoch H2,H2,0,1,1,0,2,24-07-02,3,Epoch,1,6,NA,2,0,7,4589,0,66
plate1-A5,24-07-02 Epoch A3,A3,0,1,0,1,2,24-07-02,3,Epoch,1,6,NA,2,0,4,2500,0,36
plate1-B5,24-07-02 Epoch B3,B3,0,0,1,1,2,24-07-02,3,Epoch,1,6,NA,2,8722,0,33,595,11
plate1-C5,24-07-02 Epoch C3,C3,1,1,1,0,3,24-07-02,3,Epoch,1,6,NA,2,1,3,2943,0,53
plate1-D5,24-07-02 Epoch D3,D3,1,1,0,1,3,24-07-02,3,Epoch,1,6,NA,2,0,0,3301,1,56
plate1-E5,24-07-02 Epoch E3,E3,1,0,1,1,3,24-07-02,3,Epoch,1,6,NA,2,98,6001,119,2,12
plate1-F5,24-07-02 Epoch F3,F3,0,1,1,1,3,24-07-02,3,Epoch,1,6,NA,2,0,13,3524,0,100
plate1-G5,24-07-02 Epoch G3,G3,1,1,1,1,4,24-07-02,3,Epoch,1,6,NA,2,0,12,2862,0,80
plate1-H5,24-07-02 Epoch H3,H3,0,0,0,0,0,24-07-02,3,Epoch,1,6,NA,2,NA,NA,NA,NA,NA
plate1-A7,24-07-02 Epoch A4,A4,0,0,1,0,1,24-07-02,3,Epoch,1,6,NA,2,8451,0,4,1,27
plate1-B7,24-07-02 Epoch B4,B4,0,0,0,1,1,24-07-02,3,Epoch,1,6,NA,2,1,0,12,8172,11
plate1-C7,24-07-02 Epoch C4,C4,1,1,0,0,2,24-07-02,3,Epoch,1,6,NA,2,1,0,3935,0,54
plate1-D7,24-07-02 Epoch D4,D4,1,0,1,0,2,24-07-02,3,Epoch,1,6,NA,2,15,5678,1,1,13
plate1-E7,24-07-02 Epoch E4,E4,1,0,0,1,2,24-07-02,3,Epoch,1,6,NA,2,0,4954,34,1,9
plate1-F7,24-07-02 Epoch F4,F4,0,1,1,0,2,24-07-02,3,Epoch,1,6,NA,2,0,1,3021,0,84
plate1-G7,24-07-02 Epoch G4,G4,1,0,0,0,1,24-07-02,3,Epoch,1,6,NA,2,0,5298,5,0,13
plate1-H7,24-07-02 Epoch H4,H4,0,1,0,0,1,24-07-02,3,Epoch,1,6,NA,2,0,1,3668,0,78
plate1-A9,24-07-02 Epoch A5,A5,1,1,1,0,3,24-07-02,3,Epoch,1,6,NA,2,4,2,3166,0,100
plate1-B9,24-07-02 Epoch B5,B5,1,1,0,1,3,24-07-02,3,Epoch,1,6,NA,2,1,0,3454,5,49
plate1-C9,24-07-02 Epoch C5,C5,1,0,1,1,3,24-07-02,3,Epoch,1,6,NA,2,31,5961,13,2,9
plate1-D9,24-07-02 Epoch D5,D5,0,1,1,1,3,24-07-02,3,Epoch,1,6,NA,2,0,9,3349,0,53
plate1-E9,24-07-02 Epoch E5,E5,1,1,1,1,4,24-07-02,3,Epoch,1,6,NA,2,0,21,3332,0,80
plate1-F9,24-07-02 Epoch F5,F5,0,0,0,0,0,24-07-02,3,Epoch,1,6,NA,2,NA,NA,NA,NA,NA
plate1-G9,24-07-02 Epoch G5,G5,0,1,0,1,2,24-07-02,3,Epoch,1,6,NA,2,0,3,3582,0,76
plate1-H9,24-07-02 Epoch H5,H5,0,0,1,1,2,24-07-02,3,Epoch,1,6,NA,2,6808,0,1,2109,16
plate1-A11,24-07-02 Epoch A7,A7,1,1,0,0,2,24-07-02,3,Epoch,1,6,NA,2,0,0,2781,0,73
plate1-B11,24-07-02 Epoch B7,B7,1,0,1,0,2,24-07-02,3,Epoch,1,6,NA,2,11,6269,20,1,12
plate1-C11,24-07-02 Epoch C7,C7,1,0,0,1,2,24-07-02,3,Epoch,1,6,NA,2,0,6278,13,2,11
plate1-D11,24-07-02 Epoch D7,D7,0,1,1,0,2,24-07-02,3,Epoch,1,6,NA,2,0,1,3625,0,65
plate1-E11,24-07-02 Epoch E7,E7,1,0,0,0,1,24-07-02,3,Epoch,1,6,NA,2,0,7329,2,0,13
plate1-F11,24-07-02 Epoch F7,F7,0,1,0,0,1,24-07-02,3,Epoch,1,6,NA,2,0,1,3948,0,74
plate1-G11,24-07-02 Epoch G7,G7,0,0,1,0,1,24-07-02,3,Epoch,1,6,NA,2,9298,0,7,0,8
plate1-H11,24-07-02 Epoch H7,H7,0,0,0,1,1,24-07-02,3,Epoch,1,6,NA,2,0,0,0,7745,11
plate2-A1,24-07-02 Epoch A8,A8,1,0,1,1,3,24-07-02,1,Epoch,2,6,1,NA,NA,NA,NA,NA,NA
plate2-B1,24-07-02 Epoch B8,B8,0,1,1,1,3,24-07-02,1,Epoch,2,6,1,NA,0,4,4859,0,54
plate2-C1,24-07-02 Epoch C8,C8,1,1,1,1,4,24-07-02,1,Epoch,2,6,1,NA,0,0,4194,0,54
plate2-D1,24-07-02 Epoch D8,D8,0,0,0,0,0,24-07-02,1,Epoch,2,6,1,NA,NA,NA,NA,NA,NA
plate2-E1,24-07-02 Epoch E8,E8,0,1,0,1,2,24-07-02,1,Epoch,2,6,1,NA,3,19,8334,1,37
plate2-F1,24-07-02 Epoch F8,F8,0,0,1,1,2,24-07-02,1,Epoch,2,6,1,NA,6940,1,12,1312,30
plate2-G1,24-07-02 Epoch G8,G8,1,1,1,0,3,24-07-02,1,Epoch,2,6,1,NA,1,4,3815,8,53
plate2-H1,24-07-02 Epoch H8,H8,1,1,0,1,3,24-07-02,1,Epoch,2,6,1,NA,2,3,4520,1,40
plate2-A3,24-07-02 Epoch A9,A9,1,0,0,1,2,24-07-02,1,Epoch,2,6,1,NA,2,7070,4,32,13
plate2-B3,24-07-02 Epoch B9,B9,0,1,1,0,2,24-07-02,1,Epoch,2,6,1,NA,0,1,5299,0,47
plate2-C3,24-07-02 Epoch C9,C9,1,0,0,0,1,24-07-02,1,Epoch,2,6,1,NA,0,7836,2,0,5
plate2-D3,24-07-02 Epoch D9,D9,0,1,0,0,1,24-07-02,1,Epoch,2,6,1,NA,0,5,7166,0,58
plate2-E3,24-07-02 Epoch E9,E9,0,0,1,0,1,24-07-02,1,Epoch,2,6,1,NA,6954,1,3,0,60
plate2-F3,24-07-02 Epoch F9,F9,0,0,0,1,1,24-07-02,1,Epoch,2,6,1,NA,0,1,0,6123,9
plate2-G3,24-07-02 Epoch G9,G9,1,1,0,0,2,24-07-02,1,Epoch,2,6,1,NA,2,0,5279,2,35
plate2-H3,24-07-02 Epoch H9,H9,1,0,1,0,2,24-07-02,1,Epoch,2,6,1,NA,4,8910,2,0,12
plate2-A5,24-07-02 Epoch A10,A10,1,1,1,1,4,24-07-02,1,Epoch,2,6,1,NA,0,47,5418,1,45
plate2-B5,24-07-02 Epoch B10,B10,0,0,0,0,0,24-07-02,1,Epoch,2,6,1,NA,NA,NA,NA,NA,NA
plate2-C5,24-07-02 Epoch C10,C10,0,1,0,1,2,24-07-02,1,Epoch,2,6,1,NA,0,42,6963,0,59
plate2-D5,24-07-02 Epoch D10,D10,0,0,1,1,2,24-07-02,1,Epoch,2,6,1,NA,6505,0,15,858,55
plate2-E5,24-07-02 Epoch E10,E10,1,1,1,0,3,24-07-02,1,Epoch,2,6,1,NA,0,1,4985,0,48
plate2-F5,24-07-02 Epoch F10,F10,1,1,0,1,3,24-07-02,1,Epoch,2,6,1,NA,0,1,4501,6,46
plate2-G5,24-07-02 Epoch G10,G10,1,0,1,1,3,24-07-02,1,Epoch,2,6,1,NA,7,7730,9,50,18
plate2-H5,24-07-02 Epoch H10,H10,0,1,1,1,3,24-07-02,1,Epoch,2,6,1,NA,0,6,7190,1,51
plate2-A7,24-07-02 Epoch A12,A12,0,0,0,0,0,24-07-02,1,Epoch,2,6,1,NA,NA,NA,NA,NA,NA
plate2-B7,24-07-02 Epoch B12,B12,1,1,1,1,4,24-07-02,1,Epoch,2,6,1,NA,0,1,6871,0,33
plate2-C7,24-07-02 Epoch C12,C12,0,1,1,1,3,24-07-02,1,Epoch,2,6,1,NA,0,6,7922,0,43
plate2-D7,24-07-02 Epoch D12,D12,1,0,1,1,3,24-07-02,1,Epoch,2,6,1,NA,13,4583,12,64,26
plate2-E7,24-07-02 Epoch E12,E12,1,1,0,1,3,24-07-02,1,Epoch,2,6,1,NA,0,0,3729,0,44
plate2-F7,24-07-02 Epoch F12,F12,1,1,1,0,3,24-07-02,1,Epoch,2,6,1,NA,1,0,3867,3,40
plate2-G7,24-07-02 Epoch G12,G12,0,0,1,1,2,24-07-02,1,Epoch,2,6,1,NA,6158,4,4,963,44
plate2-H7,24-07-02 Epoch H11,H11,0,1,0,1,2,24-07-02,1,Epoch,2,6,1,NA,0,2,8471,0,51
plate2-A1,24-07-02 Epoch A8,A8,1,0,1,1,3,24-07-02,2,Epoch,2,6,NA,1,15,2162,0,32,11
plate2-B1,24-07-02 Epoch B8,B8,0,1,1,1,3,24-07-02,2,Epoch,2,6,NA,1,0,0,8215,0,53
plate2-C1,24-07-02 Epoch C8,C8,1,1,1,1,4,24-07-02,2,Epoch,2,6,NA,1,0,0,7269,0,57
plate2-D1,24-07-02 Epoch D8,D8,0,0,0,0,0,24-07-02,2,Epoch,2,6,NA,1,NA,NA,NA,NA,NA
plate2-E1,24-07-02 Epoch E8,E8,0,1,0,1,2,24-07-02,2,Epoch,2,6,NA,1,1,8,7892,0,56
plate2-F1,24-07-02 Epoch F8,F8,0,0,1,1,2,24-07-02,2,Epoch,2,6,NA,1,4348,0,7,5038,11
plate2-G1,24-07-02 Epoch G8,G8,1,1,1,0,3,24-07-02,2,Epoch,2,6,NA,1,1,0,7198,0,60
plate2-H1,24-07-02 Epoch H8,H8,1,1,0,1,3,24-07-02,2,Epoch,2,6,NA,1,1,4,6444,0,62
plate2-A3,24-07-02 Epoch A9,A9,1,0,0,1,2,24-07-02,2,Epoch,2,6,NA,1,0,1551,3,14,16
plate2-B3,24-07-02 Epoch B9,B9,0,1,1,0,2,24-07-02,2,Epoch,2,6,NA,1,0,0,8117,0,49
plate2-C3,24-07-02 Epoch C9,C9,1,0,0,0,1,24-07-02,2,Epoch,2,6,NA,1,0,4179,19,0,15
plate2-D3,24-07-02 Epoch D9,D9,0,1,0,0,1,24-07-02,2,Epoch,2,6,NA,1,0,1,8039,0,49
plate2-E3,24-07-02 Epoch E9,E9,0,0,1,0,1,24-07-02,2,Epoch,2,6,NA,1,9750,0,2,0,26
plate2-F3,24-07-02 Epoch F9,F9,0,0,0,1,1,24-07-02,2,Epoch,2,6,NA,1,0,0,0,8472,7
plate2-G3,24-07-02 Epoch G9,G9,1,1,0,0,2,24-07-02,2,Epoch,2,6,NA,1,0,1,6986,0,54
plate2-H3,24-07-02 Epoch H9,H9,1,0,1,0,2,24-07-02,2,Epoch,2,6,NA,1,26,5892,7,0,14
plate2-A5,24-07-02 Epoch A10,A10,1,1,1,1,4,24-07-02,2,Epoch,2,6,NA,1,0,0,8841,0,50
plate2-B5,24-07-02 Epoch B10,B10,0,0,0,0,0,24-07-02,2,Epoch,2,6,NA,1,NA,NA,NA,NA,NA
plate2-C5,24-07-02 Epoch C10,C10,0,1,0,1,2,24-07-02,2,Epoch,2,6,NA,1,0,20,8158,0,48
plate2-D5,24-07-02 Epoch D10,D10,0,0,1,1,2,24-07-02,2,Epoch,2,6,NA,1,6171,0,4,3242,10
plate2-E5,24-07-02 Epoch E10,E10,1,1,1,0,3,24-07-02,2,Epoch,2,6,NA,1,1,1,7413,0,48
plate2-F5,24-07-02 Epoch F10,F10,1,1,0,1,3,24-07-02,2,Epoch,2,6,NA,1,1,0,7460,0,52
plate2-G5,24-07-02 Epoch G10,G10,1,0,1,1,3,24-07-02,2,Epoch,2,6,NA,1,21,5370,8,11,14
plate2-H5,24-07-02 Epoch H10,H10,0,1,1,1,3,24-07-02,2,Epoch,2,6,NA,1,2,6,6946,0,58
plate2-A7,24-07-02 Epoch A12,A12,0,0,0,0,0,24-07-02,2,Epoch,2,6,NA,1,NA,NA,NA,NA,NA
plate2-B7,24-07-02 Epoch B12,B12,1,1,1,1,4,24-07-02,2,Epoch,2,6,NA,1,0,0,8108,0,40
plate2-C7,24-07-02 Epoch C12,C12,0,1,1,1,3,24-07-02,2,Epoch,2,6,NA,1,0,2,8057,0,40
plate2-D7,24-07-02 Epoch D12,D12,1,0,1,1,3,24-07-02,2,Epoch,2,6,NA,1,4,5842,15,12,12
plate2-E7,24-07-02 Epoch E12,E12,1,1,0,1,3,24-07-02,2,Epoch,2,6,NA,1,1,0,7621,0,46
plate2-F7,24-07-02 Epoch F12,F12,1,1,1,0,3,24-07-02,2,Epoch,2,6,NA,1,0,0,7228,0,46
plate2-G7,24-07-02 Epoch G12,G12,0,0,1,1,2,24-07-02,2,Epoch,2,6,NA,1,85,5,7151,14,29
plate2-H7,24-07-02 Epoch H11,H11,0,1,0,1,2,24-07-02,2,Epoch,2,6,NA,1,1,0,7295,0,58
